,,Year,Month,Day,Hour,Minute
38539.38958,,2009,7,7,9,21
38568.92017,,2009,8,5,22,5
38598.45076,,2009,9,4,10,49
38627.98134,,2009,10,3,23,33
38657.51193,,2009,11,2,12,17
38687.04252,,2009,12,2,1,1
38716.57311,,2009,12,31,13,45
38746.1037,,2010,1,30,2,29
38775.63428,,2010,2,28,15,13
38805.16487,,2010,3,30,3,57
38834.69546,,2010,4,28,16,41
38864.22605,,2010,5,28,5,25
38893.75664,,2010,6,26,18,9
38923.28722,,2010,7,26,6,53
38952.81781,,2010,8,24,19,37
38982.3484,,2010,9,23,8,21
39011.87899,,2010,10,22,21,5
39041.40958,,2010,11,21,9,49
39070.94016,,2010,12,20,22,33
39100.47075,,2011,1,19,11,17
39130.00134,,2011,2,18,0,1
39159.53193,,2011,3,19,12,45
39189.06252,,2011,4,18,1,30
39218.5931,,2011,5,17,14,14
39248.12369,,2011,6,16,2,58
39277.65428,,2011,7,15,15,42
39307.18487,,2011,8,14,4,26
39336.71546,,2011,9,12,17,10
39366.24604,,2011,10,12,5,54
39395.77663,,2011,11,10,18,38
39425.30722,,2011,12,10,7,22
39454.83781,,2012,1,8,20,6
39484.3684,,2012,2,7,8,50
39513.89898,,2012,3,7,21,34
39543.42957,,2012,4,6,10,18
39572.96016,,2012,5,5,23,2
39602.49075,,2012,6,4,11,46
39632.02134,,2012,7,4,0,30
39661.55192,,2012,8,2,13,14
39691.08251,,2012,9,1,1,58
39720.6131,,2012,9,30,14,42
39750.14369,,2012,10,30,3,26
39779.67428,,2012,11,28,16,10
39809.20486,,2012,12,28,4,55
39838.73545,,2013,1,26,17,39
39868.26604,,2013,2,25,6,23
39897.79663,,2013,3,26,19,7
39927.32722,,2013,4,25,7,51
39956.8578,,2013,5,24,20,35
39986.38839,,2013,6,23,9,19
40015.91898,,2013,7,22,22,3
40045.44957,,2013,8,21,10,47
40074.98016,,2013,9,19,23,31
40104.51074,,2013,10,19,12,15
40134.04133,,2013,11,18,0,59
40163.57192,,2013,12,17,13,43
40193.10251,,2014,1,16,2,27
40222.6331,,2014,2,14,15,11
40252.16368,,2014,3,16,3,55
40281.69427,,2014,4,14,16,39
40311.22486,,2014,5,14,5,23
40340.75545,,2014,6,12,18,7
40370.28604,,2014,7,12,6,51
40399.81662,,2014,8,10,19,35
40429.34721,,2014,9,9,8,19
40458.8778,,2014,10,8,21,4
40488.40839,,2014,11,7,9,48
40517.93898,,2014,12,6,22,32
40547.46956,,2015,1,5,11,16
40577.00015,,2015,2,4,0,0
40606.53074,,2015,3,5,12,44
40636.06133,,2015,4,4,1,28
40665.59192,,2015,5,3,14,12
40695.1225,,2015,6,2,2,56
40724.65309,,2015,7,1,15,40
40754.18368,,2015,7,31,4,24
40783.71427,,2015,8,29,17,8
40813.24486,,2015,9,28,5,52
40842.77544,,2015,10,27,18,36
40872.30603,,2015,11,26,7,20
40901.83662,,2015,12,25,20,4
40931.36721,,2016,1,24,8,48
40960.8978,,2016,2,22,21,32
40990.42838,,2016,3,23,10,16
41019.95897,,2016,4,21,23,0
41049.48956,,2016,5,21,11,44
41079.02015,,2016,6,20,0,29
41108.55074,,2016,7,19,13,13
41138.08132,,2016,8,18,1,57
41167.61191,,2016,9,16,14,41
41197.1425,,2016,10,16,3,25
41226.67309,,2016,11,14,16,9
41256.20368,,2016,12,14,4,53
41285.73426,,2017,1,12,17,37
41315.26485,,2017,2,11,6,21
41344.79544,,2017,3,12,19,5
41374.32603,,2017,4,11,7,49
41403.85662,,2017,5,10,20,33
41433.3872,,2017,6,9,9,17
