,,Year,Month,Day,Hour,Minute
38547.41181,,2009,7,15,9,53
38576.9424,,2009,8,13,22,37
38606.47299,,2009,9,12,11,21
38636.00357,,2009,10,12,0,5
38665.53416,,2009,11,10,12,49
38695.06475,,2009,12,10,1,33
38724.59534,,2010,1,8,14,17
38754.12593,,2010,2,7,3,1
38783.65651,,2010,3,8,15,45
38813.1871,,2010,4,7,4,29
38842.71769,,2010,5,6,17,13
38872.24828,,2010,6,5,5,57
38901.77887,,2010,7,4,18,41
38931.30945,,2010,8,3,7,25
38960.84004,,2010,9,1,20,9
38990.37063,,2010,10,1,8,53
39019.90122,,2010,10,30,21,37
39049.43181,,2010,11,29,10,21
39078.96239,,2010,12,28,23,5
39108.49298,,2011,1,27,11,49
39138.02357,,2011,2,26,0,33
39167.55416,,2011,3,27,13,17
39197.08475,,2011,4,26,2,2
39226.61533,,2011,5,25,14,46
39256.14592,,2011,6,24,3,30
39285.67651,,2011,7,23,16,14
39315.2071,,2011,8,22,4,58
39344.73769,,2011,9,20,17,42
39374.26827,,2011,10,20,6,26
39403.79886,,2011,11,18,19,10
39433.32945,,2011,12,18,7,54
39462.86004,,2012,1,16,20,38
39492.39063,,2012,2,15,9,22
39521.92121,,2012,3,15,22,6
39551.4518,,2012,4,14,10,50
39580.98239,,2012,5,13,23,34
39610.51298,,2012,6,12,12,18
39640.04357,,2012,7,12,1,2
39669.57415,,2012,8,10,13,46
39699.10474,,2012,9,9,2,30
39728.63533,,2012,10,8,15,14
39758.16592,,2012,11,7,3,58
39787.69651,,2012,12,6,16,42
39817.22709,,2013,1,5,5,27
39846.75768,,2013,2,3,18,11
39876.28827,,2013,3,5,6,55
39905.81886,,2013,4,3,19,39
39935.34945,,2013,5,3,8,23
39964.88003,,2013,6,1,21,7
39994.41062,,2013,7,1,9,51
40023.94121,,2013,7,30,22,35
40053.4718,,2013,8,29,11,19
40083.00239,,2013,9,28,0,3
40112.53297,,2013,10,27,12,47
40142.06356,,2013,11,26,1,31
40171.59415,,2013,12,25,14,15
40201.12474,,2014,1,24,2,59
40230.65533,,2014,2,22,15,43
40260.18591,,2014,3,24,4,27
40289.7165,,2014,4,22,17,11
40319.24709,,2014,5,22,5,55
40348.77768,,2014,6,20,18,39
40378.30827,,2014,7,20,7,23
40407.83885,,2014,8,18,20,7
40437.36944,,2014,9,17,8,52
40466.90003,,2014,10,16,21,36
40496.43062,,2014,11,15,10,20
40525.96121,,2014,12,14,23,4
40555.49179,,2015,1,13,11,48
40585.02238,,2015,2,12,0,32
40614.55297,,2015,3,13,13,16
40644.08356,,2015,4,12,2,0
40673.61415,,2015,5,11,14,44
40703.14473,,2015,6,10,3,28
40732.67532,,2015,7,9,16,12
40762.20591,,2015,8,8,4,56
40791.7365,,2015,9,6,17,40
40821.26709,,2015,10,6,6,24
40850.79767,,2015,11,4,19,8
40880.32826,,2015,12,4,7,52
40909.85885,,2016,1,2,20,36
40939.38944,,2016,2,1,9,20
40968.92003,,2016,3,1,22,4
40998.45061,,2016,3,31,10,48
41027.9812,,2016,4,29,23,32
41057.51179,,2016,5,29,12,16
41087.04238,,2016,6,28,1,1
41116.57297,,2016,7,27,13,45
41146.10355,,2016,8,26,2,29
41175.63414,,2016,9,24,15,13
41205.16473,,2016,10,24,3,57
41234.69532,,2016,11,22,16,41
41264.22591,,2016,12,22,5,25
41293.75649,,2017,1,20,18,9
41323.28708,,2017,2,19,6,53
41352.81767,,2017,3,20,19,37
41382.34826,,2017,4,19,8,21
41411.87885,,2017,5,18,21,5
41441.40943,,2017,6,17,9,49
